,alcohol,volatile acidity,citric acid,sulphates,quality,best_quality
0,9.4,0.7,0.0,0.56,5,0
1,9.8,0.88,0.0,0.68,5,0
2,9.8,0.76,0.04,0.65,5,0
3,9.8,0.28,0.56,0.58,6,0
4,9.4,0.7,0.0,0.56,5,0
5,9.4,0.66,0.0,0.56,5,0
6,9.4,0.6,0.06,0.46,5,0
7,10.0,0.65,0.0,0.47,7,1
8,9.5,0.58,0.02,0.57,7,1
9,10.5,0.5,0.36,0.8,5,0
10,9.2,0.58,0.08,0.54,5,0
11,10.5,0.5,0.36,0.8,5,0
12,9.9,0.615,0.0,0.52,5,0
13,9.1,0.61,0.29,1.56,5,0
14,9.2,0.62,0.18,0.88,5,0
15,9.2,0.62,0.19,0.93,5,0
16,10.5,0.28,0.56,0.75,7,1
17,9.3,0.56,0.28,1.28,5,0
18,9.0,0.59,0.08,0.5,4,0
19,9.2,0.32,0.51,1.08,6,0
20,9.4,0.22,0.48,0.53,6,0
21,9.7,0.39,0.31,0.65,5,0
22,9.5,0.43,0.21,0.91,5,0
23,9.4,0.49,0.11,0.53,5,0
24,9.7,0.4,0.14,0.63,6,0
25,9.3,0.39,0.16,0.56,5,0
26,9.5,0.41,0.24,0.59,5,0
27,9.5,0.43,0.21,0.91,5,0
28,9.4,0.71,0.0,0.55,5,0
29,9.8,0.645,0.0,0.59,6,0
30,10.1,0.675,0.07,0.54,5,0
31,10.6,0.685,0.0,0.57,6,0
32,9.8,0.655,0.12,0.66,5,0
33,9.4,0.605,0.12,0.52,6,0
34,9.2,0.32,0.25,0.55,5,0
35,9.6,0.645,0.0,0.55,6,0
36,10.8,0.6,0.14,0.6,6,0
37,9.7,0.38,0.28,0.73,7,1
38,9.8,1.13,0.09,0.48,4,0
39,10.5,0.45,0.36,0.83,5,0
40,10.5,0.45,0.36,0.83,5,0
41,9.3,0.61,0.3,0.51,4,0
42,10.5,0.49,0.2,0.9,6,0
43,10.3,0.66,0.22,1.2,5,0
44,9.5,0.67,0.02,0.52,5,0
45,13.1,0.52,0.15,0.56,4,0
46,9.2,0.935,0.43,0.73,5,0
47,9.5,0.29,0.52,0.58,5,0
48,9.2,0.4,0.23,0.56,5,0
49,9.2,0.31,0.37,0.58,5,0
50,9.2,0.66,0.26,0.74,5,0
51,9.4,0.52,0.04,0.63,6,0
52,9.4,0.5,0.04,0.64,6,0
53,9.4,0.38,0.36,0.56,5,0
54,10.2,0.51,0.15,0.63,6,0
55,9.5,0.62,0.04,0.53,5,0
56,9.6,0.42,0.57,0.63,5,0
57,9.4,0.63,0.12,0.77,5,0
58,10.0,0.59,0.18,0.59,5,0
59,9.4,0.39,0.31,0.54,6,0
60,9.2,0.4,0.4,0.64,5,0
61,9.3,0.69,0.49,0.71,5,0
62,9.5,0.52,0.16,0.62,7,1
63,9.8,0.735,0.05,0.57,5,0
64,10.9,0.725,0.05,0.39,5,0
65,10.9,0.725,0.05,0.39,5,0
66,9.6,0.52,0.11,0.58,5,0
67,10.7,0.705,0.07,0.58,5,0
68,10.7,0.32,0.57,0.79,5,0
69,10.5,0.705,0.05,0.95,6,0
70,9.5,0.63,0.08,0.54,6,0
71,9.5,0.67,0.23,0.48,5,0
72,9.5,0.69,0.22,0.48,5,0
73,9.2,0.675,0.26,0.53,4,0
74,9.6,0.32,0.54,0.82,5,0
75,10.5,0.41,0.64,0.66,5,0
76,10.5,0.41,0.64,0.66,5,0
77,10.7,0.785,0.0,0.55,6,0
78,10.1,0.75,0.12,0.52,5,0
79,9.1,0.625,0.2,1.12,4,0
80,9.2,0.45,0.2,0.56,5,0
81,9.4,0.43,0.7,1.28,5,0
82,9.1,0.5,0.47,0.57,5,0
83,9.4,0.67,0.26,1.14,5,0
84,10.3,0.3,0.48,0.78,6,0
85,10.1,0.55,0.15,0.59,5,0
86,9.9,0.49,0.28,1.95,6,0
87,9.6,0.49,0.26,0.64,5,0
88,9.5,0.39,0.44,1.22,5,0
89,9.0,0.62,0.08,0.53,5,0
90,9.5,0.52,0.26,0.54,5,0
91,9.9,0.49,0.28,1.95,6,0
92,9.8,0.49,0.29,1.98,5,0
93,9.6,0.49,0.26,0.64,5,0
94,10.5,1.02,0.04,0.48,4,0
95,12.9,0.6,0.17,0.6,6,0
96,10.7,0.775,0.0,0.56,5,0
97,9.2,0.5,0.25,0.63,5,0
98,9.8,0.9,0.06,0.56,5,0
99,9.0,0.545,0.18,0.59,6,0
100,10.2,0.61,0.3,0.61,6,0
101,10.4,0.5,0.3,0.56,6,0
102,9.0,0.545,0.18,0.59,6,0
103,9.2,0.575,0.22,0.51,5,0
104,9.4,0.49,0.24,0.48,5,0
105,9.2,0.575,0.22,0.51,5,0
106,9.3,0.41,0.68,1.31,5,0
107,9.3,0.63,0.31,0.79,5,0
108,9.6,0.33,0.53,0.8,6,0
109,9.3,0.785,0.52,0.69,5,0
110,9.5,0.56,0.19,0.93,5,0
111,9.8,0.62,0.09,0.66,5,0
112,9.8,0.6,0.1,0.66,5,0
113,9.7,0.31,0.44,0.67,6,0
114,9.5,0.56,0.19,0.93,5,0
115,10.5,0.4,0.31,0.63,6,0
116,10.0,0.54,0.28,0.61,6,0
117,9.4,0.56,0.12,0.5,6,0
118,10.9,0.55,0.04,0.6,6,0
119,9.2,0.69,0.08,0.54,6,0
120,9.0,1.07,0.09,0.57,5,0
121,10.9,0.55,0.04,0.6,6,0
122,9.2,0.695,0.0,0.52,5,0
123,9.5,0.71,0.0,0.53,5,0
124,9.5,0.5,0.17,0.48,5,0
125,9.4,0.62,0.04,0.7,5,0
126,10.9,1.33,0.0,0.49,5,0
127,10.9,1.33,0.0,0.48,5,0
128,10.5,0.59,0.16,0.92,7,1
129,9.4,0.38,0.15,0.57,5,0
130,9.4,0.745,0.56,0.66,5,0
131,13.0,0.5,0.09,0.63,5,0
132,13.0,0.5,0.09,0.63,5,0
133,9.8,0.5,0.01,0.58,6,0
134,9.9,1.04,0.05,0.55,6,0
135,9.6,0.745,0.11,0.82,5,0
136,9.5,0.715,0.15,0.77,5,0
137,9.2,0.415,0.36,0.64,5,0
138,9.5,0.56,0.19,0.54,5,0
139,9.5,0.56,0.19,0.54,5,0
140,9.6,0.745,0.11,0.82,5,0
141,9.5,0.715,0.15,0.77,5,0
142,14.0,0.34,0.0,0.79,6,0
143,9.4,0.39,0.08,0.58,5,0
144,14.0,0.34,0.0,0.79,6,0
145,9.4,0.67,0.55,0.62,5,0
146,10.0,0.68,0.02,0.52,5,0
147,9.3,0.49,0.26,0.8,5,0
148,10.2,0.49,0.1,0.58,6,0
149,10.5,0.4,0.44,0.61,6,0
150,10.3,0.33,0.47,0.53,6,0
151,9.4,0.52,1.0,2.0,4,0
152,10.1,0.6,0.03,0.54,5,0
153,10.1,0.6,0.03,0.54,5,0
154,10.5,0.43,0.42,0.72,5,0
155,10.5,0.43,0.42,0.71,5,0
156,10.5,0.43,0.42,0.72,5,0
